cartodb_id,the_geom,field_1,centroid,lat,long,count,source_cartodb_id,source_field_1
3129,0101000020E6100000D54A3A2DAC7A52C0F54A598638594440,Dooorbelll_,POINT,40.6970375,-73.91675883,11,1,bk
3131,0101000020E6100000BCE744ABE87952C0833C50E167544440,kelleymaria,POINT,40.65942017,-73.90482599,11,1,bk
3133,0101000020E6100000ACADD85FF67B52C075719F4584594440,KEEHN4N,POINT,40.69934912,-73.9369125,11,1,bk
3145,0101000020E610000049417DECAA7D52C04434BA83D85B4440,GummiBriiii,POINT,40.717545,-73.96355736,11,1,bk
3202,0101000020E61000005F68E87E927952C0151B3557B4574440,ton001020,POINT,40.68519106,-73.89956639,11,1,bk
3229,0101000020E61000004C410AE09E7D52C0D33BCBE2345C4440,lizdollabill,POINT,40.72036395,-73.96282197,11,1,bk
3247,0101000020E610000037FB4501897C52C0D1E252B6445B4440,MSclerosific,POINT,40.71303443,-73.94586212,11,1,bk
3302,0101000020E6100000461E2D739F7C52C0E403AF541F5A4440,breannwhlgn,POINT,40.70408114,-73.94723205,11,1,bk
3310,0101000020E6100000D5779F5F6B7D52C08BC8C927D85B4440,jandrewARTS,POINT,40.71753404,-73.95967856,10,1,bk
3375,0101000020E6100000B810DC2FBC7C52C0AFB62063075C4440,jaimebee,POINT,40.71897544,-73.94898602,10,1,bk
3386,0101000020E61000003BCF8E0A927D52C02E45C9160F5C4440,aBoyNamedAvery_,POINT,40.71921048,-73.96203865,10,1,bk
3433,0101000020E6100000399C1AE4C57C52C0B1AA771BC85A4440,heidivanderlee,POINT,40.70923179,-73.94957831,10,1,bk
3448,0101000020E61000002BA0715D887C52C0A4F1B866FA594440,Julliaaannnnnnn,POINT,40.70295414,-73.94582306,10,1,bk
3474,0101000020E610000005E01B1A817C52C0B47C3407CE5B4440,theokaratzas,POINT,40.71722498,-73.94537976,10,1,bk
3500,0101000020E61000007E52EDD3F17C52C0F9A067B3EA5B4440,Mooney4780,POINT,40.7181,-73.95226,10,1,bk
3516,0101000020E610000016CF0B3DC37C52C0568B5FE3C05B4440,MollieMcGill,POINT,40.71682398,-73.94941641,10,1,bk
3522,0101000020E610000063139148787B52C0D3508282FB594440,HUXTABLEJULIANA,POINT,40.70298797,-73.92921652,10,1,bk
3555,0101000020E610000093E64D4D1B7B52C098B81B6579594440,MsBklynNewYork,POINT,40.69901718,-73.92354138,10,1,bk
3588,0101000020E61000005E593718497A52C0463A0B94F7584440,irinka0328,POINT,40.69505549,-73.91071134,10,1,bk
3595,0101000020E6100000D3CE7A42007D52C0FFE649C2D35B4440,alivingiano,POINT,40.71739987,-73.95314085,10,1,bk
3645,0101000020E6100000B3DBFCF9557C52C04B4C82FD785A4440,A_Color_Green,POINT,40.70681733,-73.94274759,10,1,bk
3651,0101000020E610000018EF64C35C7C52C0EC6FC7A36D5B4440,Richelkumar,POINT,40.71428344,-73.94316182,10,1,bk
3666,0101000020E61000003CF141746D7C52C0FEEEA16DCA5A4440,allykerans,POINT,40.70930262,-73.94418055,10,1,bk
3697,0101000020E6100000B4E51A6E597952C05408DCA1FE544440,p1ru135ml,POINT,40.66402076,-73.89608338,10,1,bk
3704,0101000020E6100000D09CF529477A52C00AFEF13DA7584440,XLADYNAYX,POINT,40.69260382,-73.9105935,10,1,bk
3721,0101000020E61000006AB01D4A7C7D52C0BA09E7E82B5C4440,SavIsSavvy,POINT,40.72009002,-73.96071103,10,1,bk
3759,0101000020E6100000605C269AB27C52C0E8A3ADC6695B4440,jdeservesit,POINT,40.71416553,-73.94840101,9,1,bk
3785,0101000020E6100000962EF5DA097D52C04D7CFF30535B4440,brookeebunce,POINT,40.7134763,-73.95372652,9,1,bk
3794,0101000020E61000008F464FDB507A52C0AA928E93BE584440,Yerbatero718,POINT,40.69331593,-73.9111851,9,1,bk
3815,0101000020E6100000BA27D55FAB7D52C07969B37FD85B4440,MegynHermez,POINT,40.71754452,-73.96358486,9,1,bk
3842,0101000020E6100000919C0AC0587A52C075CDE49BED584440,BrianVisaggio,POINT,40.69475125,-73.91166688,9,1,bk
3867,0101000020E610000025FF17F81F7A52C048AB18B67F594440,kristateej,POINT,40.69920994,-73.90820124,9,1,bk
3901,0101000020E61000001D0BE103C17B52C029417FA1475A4440,NoMilkCereal,POINT,40.705311,-73.93365571,9,1,bk
3938,0101000020E610000004A09B47CF7C52C09CEF3370385B4440,JessicaAFerri,POINT,40.71265986,-73.95015135,9,1,bk
3952,0101000020E6100000CAE049879E7B52C07A7885F44A5A4440,giorrano,POINT,40.70541245,-73.93155081,9,1,bk
4006,0101000020E610000012D5004AA87D52C0D02F636D805B4440,DustyLacson,POINT,40.71485679,-73.96339655,9,1,bk
4029,0101000020E61000001AFD6838A57A52C0ACBB266219594440,QueenSatia,POINT,40.69608714,-73.91633425,9,1,bk
